HTS Date:,2/21/2026,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Tariff Number,Description,Effective Date,Expiration Date,Census Qty 1,Census Qty 2,Census Qty 3,AD Duty,CV Duty,PGA 1,PGA 2,PGA 3,PGA 4,PGA 5,PGA 6,PGA 7,PGA 8,PGA 9,PGA 10
0101100010,"MALE HORSES, PUREBRED BREE",1/1/2002,12/31/2030,NO,,,N,N,,,,,,,,,,
0101210010,"MALE HORSES, PUREBRED BREEDING",2/3/2012,12/31/2030,NO,,,N,N,AM7,FD3,,,,,,,,
0101210020,FEMALE HORSE PUREBRED BREEDING,2/3/2012,12/31/2030,NO,,,N,N,AM7,FD3,,,,,,,,
0101290010,"OTH LV HORSE,IMPRT F/SLAUGHTER",2/3/2012,12/31/2030,NO,,,N,N,AM7,FD4,,,,,,,,
0101290090,"OTHER LIVE HORSES, OTHER",2/3/2012,12/31/2030,NO,,,N,N,AM7,FD3,,,,,,,,
0101300000,ASSES,7/1/2020,12/31/2030,NO,,,N,N,AM7,FD3,,,,,,,,
0101300020,ASSES,2/3/2012,12/31/2030,NO,,,N,N,,,,,,,,,,
0101903000,"MULES/HINNIES, IMMED SLAUGHTER",12/12/2003,12/31/2030,NO,,,N,N,AM7,FD4,,,,,,,,
0101904000,OTHER LIVE MULES AND HINNIES,7/1/2020,12/31/2030,NO,,,N,N,AM7,FD4,,,,,,,,
0102210010,MALE DAIRY PUREBRED BREEDING,2/3/2012,12/31/2030,NO,,,N,N,AM7,FD3,,,,,,,,
0102210020,FEMALE DAIRY PUREBRD BREEDING,2/3/2012,12/31/2030,NO,,,N,N,AM7,FD3,,,,,,,,
0102210030,OTHER MALE PUREBRED BREEDING,2/3/2012,12/31/2030,NO,,,N,N,AM7,FD3,,,,,,,,
0102210050,OTHER FEMALE PUREBRED BREEDING,2/3/2012,12/31/2030,NO,,,N,N,AM7,FD3,,,,,,,,
0102292011,"OTH COW IMPRT F/DAIRY,WT <90KG",2/3/2012,12/31/2030,NO,KG,,N,N,AM7,FD3,,,,,,,,
0102292012,"OTH COW IMPRT F/DAIRY,WT=>90KG",2/3/2012,12/31/2030,NO,KG,,N,N,AM7,FD3,,,,,,,,
0102294024,OTH MALE LV BVNE ANM <90 KG EA,1/1/2021,12/31/2030,NO,KG,,N,N,AM7,FD3,,,,,,,,
0102294028,OTH FEMALE LV BVNE ANM <90 KG,1/1/2021,12/31/2030,NO,KG,,N,N,AM7,FD3,,,,,,,,
0102294034,OTH LV MLE BV ANM=>90KG <200KG,1/1/2021,12/31/2030,NO,KG,,N,N,AM7,FD3,,,,,,,,
0102294038,OT LV FMLE BV ANM=>90KG <200KG,1/1/2021,12/31/2030,NO,KG,,N,N,AM7,FD3,,,,,,,,
0102294054,OT LVE MLE BVNE ANM 200<320 KG,1/1/2021,12/31/2030,NO,KG,,N,N,AM7,FD3,,,,,,,,
0102294058,OT LVE FMLE BVNE ANM 200<320KG,1/1/2021,12/31/2030,NO,KG,,N,N,AM7,FD3,,,,,,,,
0102294062,"STEERS,IMM SLAUGHTER => 320 KG",1/1/2021,12/31/2030,NO,KG,,N,N,AM7,FD4,,,,,,,,
0102294064,"BULLS,IMM SLAUGHTER => 320 KG",1/1/2021,12/31/2030,NO,KG,,N,N,AM7,FD4,,,,,,,,
0102294066,"COWS,IMM SLAUGHTER => 320 KG",1/1/2021,12/31/2030,NO,KG,,N,N,AM7,FD4,,,,,,,,
0102294068,"HEIFER,IMM SLAUGHTER => 320 KG",1/1/2021,12/31/2030,NO,KG,,N,N,AM7,FD4,,,,,,,,
0102294072,"MALE BOVINE,BREEDING,=> 320 KG",1/1/2021,12/31/2030,NO,KG,,N,N,AM7,FD3,,,,,,,,
0102294074,"FEMALE BOV,BREEDING, => 320 KG",1/1/2021,12/31/2030,NO,KG,,N,N,AM7,FD3,,,,,,,,
0102294082,MALE LIVE BOV ANIM =OR> 320 KG,1/1/2021,12/31/2030,NO,KG,,N,N,AM7,FD3,,,,,,,,
0102294084,FEMALE LIVE BOV ANIM => 320 KG,1/1/2021,12/31/2030,NO,KG,,N,N,AM7,FD3,,,,,,,,
0102310010,OTHER MALE PUREBRED BREEDING,2/1/2013,12/31/2030,NO,,,N,N,AM7,FD3,,,,,,,,
