HTSUS,Description,Scope Limitations
9903.01.25,Annex I General Exemption,Addition
9903.02.77,Annex I General Exemption,Addition
9903.02.78,Annex I General Exemption,Addition
9903.01.32,Annex I General Exemption,Addition
9903.02.02,Annex I General Exemption,Addition
9903.02.73,Annex I General Exemption,Addition
9903.01.30,Annex I General Exemption,Addition
9903.01.33,Annex I General Exemption,Addition
9903.02.74,Annex I General Exemption,Addition
0201.10.05,Annex I General Exemption,Addition
0702.00.40,Annex I General Exemption,Addition
0802.91.10,Annex I General Exemption,Addition
0902.20.90,Annex I General Exemption,Addition
0910.99.07,Annex I General Exemption,Addition
2008.20.00,Annex I General Exemption,Addition
0201.10.10,Annex I General Exemption,Addition
0702.00.60,Annex I General Exemption,Addition
0802.91.90,Annex I General Exemption,Addition
0902.30.00,Annex I General Exemption,Addition
0910.99.10,Annex I General Exemption,Addition
2008.91.00,Annex I General Exemption,Addition
0201.10.50,Annex I General Exemption,Addition
0709.99.05,Annex I General Exemption,Addition
0802.92.10,Annex I General Exemption,Addition
0902.40.00,Annex I General Exemption,Addition
0910.99.20,Annex I General Exemption,Addition
2008.99.13,Annex I General Exemption,Addition
0201.20.02,Annex I General Exemption,Addition
0709.99.10,Annex I General Exemption,Addition
0802.92.90,Annex I General Exemption,Addition
0903.00.00,Annex I General Exemption,Addition
0910.99.40,Annex I General Exemption,Addition
2008.99.15,Annex I General Exemption,Addition
0201.20.04,Annex I General Exemption,Addition
0710.80.15,Annex I General Exemption,Addition
0803.10.10,Annex I General Exemption,Addition
0904.11.00,Annex I General Exemption,Addition
0910.99.50,Annex I General Exemption,Addition
2008.99.40,Annex I General Exemption,Addition
0201.20.06,Annex I General Exemption,Addition
0711.90.30,Annex I General Exemption,Addition
0803.10.20,Annex I General Exemption,Addition
0904.12.00,Annex I General Exemption,Addition
0910.99.60,Annex I General Exemption,Addition
2008.99.45,Annex I General Exemption,Addition
0201.20.10,Annex I General Exemption,Addition
0712.32.00,Annex I General Exemption,Addition
