HTSUS,Rate
8708.10.60,10.0
8481.90.9060,10.0
8516.90.5000,10.0
3402.31.90,10.0
8302.49.6085,10.0
7613.00.0000,10.0
8538.10.0000,10.0
7610.10.00,10.0
8529.90.7300,10.0
9903.85.15,10.0
7605,10.0
8422.90.0640,10.0
7601,10.0
3208.90.00,10.0
8302.42.3010,10.0
8479.90.8500,10.0
8508.70.0000,10.0
7614.90.40,10.0
9506.99.0510,10.0
3405.10.00,10.0
7614.90.50,10.0
7612.10.0000,10.0
8473.30.2000,10.0
8418.99.8050,10.0
8418.99.8005,10.0
8705,10.0
3405.90.00,10.0
9506.91.0010,10.0
9903.85.13,10.0
3401.30.10,10.0
3506.91.50,10.0
9903.01.33,10.0
7615.10.2025,10.0
9403.10.00,10.0
3814.00.20,10.0
8544.19.00,10.0
9903.85.69,10.0
8701,10.0
8504.31.40,10.0
8302.30.3010,10.0
8302.41.6045,10.0
8479.90.9596,10.0
8529.90.9760,10.0
3808.62.50,10.0
7612.90.10,10.0
8306.30.0000,10.0
9506.91.0030,10.0
9506.99.5500,10.0
7609,10.0
8302.49.6055,10.0
9506.99.0520,10.0
2903.49.00,10.0
3303.00.20,10.0
7616.99.51,10.0
9506.51.6000,10.0
8302.30.3060,10.0
9403.99.9045,10.0
8418.99.8060,10.0
9903.85.12,10.0
9405.99.4020,10.0
3402.50.11,10.0
9507.30.8000,10.0
3307.90.00,10.0
7615.10.7130,10.0
8547.90.0030,10.0
3307.10.20,10.0
3214.10.00,10.0
8517.79.0000,10.0
8504.33.00,10.0
2903.45.10,10.0
9903.85.02,10.0
8424.90.9080,10.0
3403.19.10,10.0
3808.94.10,10.0
8504.90.20,10.0
9507.90.6000,10.0
8302.41.6015,10.0
3808.91.25,10.0
7614.10.50,10.0
7614.90.20,10.0
2903.59.90,10.0
3209.90.00,10.0
3307.10.10,10.0
3307.20.00,10.0
8504.34.00,10.0
9807,10.0
8504.31.20,10.0
3808.91.50,10.0
3306.90.00,10.0
7615.10.5040,10.0
9506.99.1500,10.0
3405.40.00,10.0
9403.99.9040,10.0
9506.99.2800,10.0
3808.59.40,10.0
8302.20.0000,10.0
3304.30.00,10.0
8415.90.8085,10.0
8309.90.0020,10.0
9903.85.07,10.0
9506.70.2090,10.0
8412.90.9070,10.0
8504.31.60,10.0
9903.85.14,10.0
2903.51.10,10.0
9403.20.00,10.0
2203.00.0060,10.0
3809.91.00,10.0
9403.99.9020,10.0
8443.16.0000,10.0
8708.10.30,10.0
8415.90.8045,10.0
9013.90.8000,10.0
7608,10.0
7612.90.5000,10.0
8483.40.5020,10.0
9506.11.4080,10.0
3808.69.50,10.0
3808.91.30,10.0
9031.90.9195,10.0
3305.30.00,10.0
8483.90.5020,10.0
8481.90.9085,10.0
8502.20.00,10.0
8547.90.0040,10.0
7615.10.9100,10.0
9403.99.9015,10.0
7607,10.0
8708.80.6590,10.0
8302.10.6060,10.0
6603.90.8100,10.0
8302.42.3015,10.0
9903.01.25,10.0
8516.90.8050,10.0
9506.99.6080,10.0
3506.10.50,10.0
3701.30.0000,10.0
8807.30.0060,10.0
3303.00.30,10.0
8302.42.3065,10.0
2106.90.9998,10.0
8504.90.96,10.0
3402.90.50,10.0
7308.20.0035,10.0
7615.10.7125,10.0
7604,10.0
3808.94.50,10.0
7615.10.7180,10.0
0402.99.68,10.0
8479.89.9599,10.0
8503.00.9546,10.0
3402.49.90,10.0
8302.41.6080,10.0
8513.90.2000,10.0
8467.22.00,10.0
3506.99.00,10.0
8419.50.1000,10.0
3811.19.00,10.0
3403.99.00,10.0
8302.10.6030,10.0
8302.49.6035,10.0
8503.00.9520,10.0
8536.90.8585,10.0
8419.90.1000,10.0
7615.10.7155,10.0
7615.10.3025,10.0
7610.90.00,10.0
8302.50.0000,10.0
8473.30.5100,10.0
7616.10.9090,10.0
9903.85.04,10.0
3402.90.10,10.0
8302.60.3000,10.0
9903.85.70,10.0
8412.90.9075,10.0
0402.99.90,10.0
3213.90.00,10.0
8503.00.9570,10.0
3401.30.50,10.0
3810.10.00,10.0
8541.90.0000,10.0
7616.99.1000,10.0
9903.85.09,10.0
3208.20.00,10.0
3303.00.10,10.0
8467.89.50,10.0
3305.90.00,10.0
8418.10.00,10.0
8486.90.0000,10.0
3814.00.50,10.0
8708.99.6890,10.0
9506.99.0530,10.0
2903.43.10,10.0
3004.90.9244,10.0
3808.62.10,10.0
7615.10.5020,10.0
8419.50.5000,10.0
8515.90.2000,10.0
8544.49.2000,10.0
3824.99.9397,10.0
8414.59.6590,10.0
8451.21.00,10.0
8544.49.9000,10.0
3304.99.50,10.0
8467.29.00,10.0
7614.10.10,10.0
2203.00.0090,10.0
8716.80.5010,10.0
8302.49.6045,10.0
3209.10.00,10.0
8302.41.3000,10.0
9506.91.0020,10.0
9506.51.4000,10.0
8414.80.16,10.0
7616.99.5190,10.0
8544.60.2000,10.0
8517.71.0000,10.0
9403.99.9010,10.0
9507.30.2000,10.0
8302.10.6090,10.0
8309.90.0025,10.0
8504.90.75,10.0
8302.60.9000,10.0
8305.10.0050,10.0
8708.10.3050,10.0
3808.61.50,10.0
8450.11.00,10.0
8302.41.6050,10.0
0402.99.70,10.0
9401.79.00,10.0
8487.90.0080,10.0
9506.99.2000,10.0
1420,10.0
8547.90.0020,10.0
9903.85.08,10.0
3808.69.10,10.0
3403.19.50,10.0
9507.30.6000,10.0
9603.90.8050,10.0
8544.42.90,10.0
7606,10.0
3808.59.10,10.0
8708.29.21,10.0
8504.90.41,10.0
9903.85.68,10.0
8415.90.8025,10.0
9506.99.2580,10.0
3402.50.51,10.0
3305.10.00,10.0
3402.90.30,10.0
8307.90.6000,10.0
1201,10.0
8543.90.8885,10.0
7615.10.3015,10.0
8716.39.0040,10.0
8302.10.3000,10.0
7615.10.2015,10.0
9401.99.9081,10.0
8708.29.5160,10.0
9506.59.4040,10.0
3811.21.00,10.0
8424.89.90,10.0
3808.61.10,10.0
9403.99.1040,10.0
3808.91.15,10.0
3820.00.00,10.0
8544.60.6000,10.0
8467.81.00,10.0
3307.49.00,10.0
3208.10.00,10.0
3405.20.00,10.0
3814.00.10,10.0
2710.19.3050,10.0
7616.99.5130,10.0
3506.91.10,10.0
7616.99.5140,10.0
8501.64.0110,10.0
8502.31.0000,10.0
9903.85.67,10.0
7615.20.0000,10.0
9507.30.4000,10.0
8504.90.65,10.0
