hts,desc
7206,Iron and nonalloy steel in ingots or other primary forms (excluding iron of heading 7203)
7207,Semifinished products of iron or nonalloy steel
7208,"Flat-rolled iron or nonalloy steel products, 600 mm (23.6 in.) or more wide, hot-rolled, not clad, plated or coated"
7209,"Flat-rolled iron or nonalloy steel products, 600 mm (23.6 in.) or more wide, cold-rolled, not clad, plated or coated"
7210,"Flat-rolled iron or nonalloy steel products, 600 mm (23.6 in.) or more wide, clad, plated or coated"
7211,"Flat-rolled iron or nonalloy steel products, less than 600 mm (23.6 in.) wide, not clad, plated or coated"
7212,"Flat-rolled iron or nonalloy steel products, less than 600 mm (23.6 in.) wide, clad, plated or coated"
7213,"Bars and rods of iron or nonalloy steel, hot-rolled, in irregularly wound coils"
7214,"Bars and rods of iron or nonalloy steel nesoi, not further worked than forged, hot-rolled, hot-drawn or hot-extruded, but including those twisted after rolling"
7215,Bars and rods of iron or nonalloy steel nesoi
72161000,"Iron or nonalloy steel, U-, I- or H-sections, not further worked than hot- rolled, hot-drawn or extruded, with height under 80 mm"
72162100,"Iron or nonalloy steel, L-sections, not further worked than hot-rolled, hot- drawn or extruded, with height under 80 mm"
72162200,"Iron or nonalloy steel, T-sections, not further worked than hot-rolled, hot- drawn or extruded, with height under 80 mm"
72163100,"Iron or nonalloy steel, U-sections, not further worked than hot-rolled, hot- drawn or extruded, with height of 80 mm or more"
72163200,"Iron or nonalloy steel, I-sections (standard beams), not further worked than hot-rolled, hot-drawn or extruded, with height of 80 mm or more"
72163300,"Iron or nonalloy steel, H-sections, not further worked than hot-rolled, hot- drawn or extruded, with height of 80 mm or more"
72164000,"Iron or nonalloy steel, L- or T-sections, not further worked than hot-rolled, hot-drawn or extruded, with height of 80 mm or more"
72165000,"Iron or nonalloy steel, angles, shapes and sections nesoi, not further worked than hot-rolled, hot-drawn or extruded"
72169900,"Iron or nonalloy steel, angles, shapes and sections nesoi, further worked than cold-formed or cold-finished, not from flat-rolled products"
7217,Wire of iron or nonalloy steel
7218,"Stainless steel in ingots, other primary forms and semifinished products"
7219,"Flat-rolled stainless steel products, width of 600 mm (23.6 in.) or more 2"
7220,"Flat-rolled stainless steel products, less than 600 mm (23.6 in.) wide"
7221,"Bars and rods of stainless steel, hot-rolled, in irregularly wound coils"
7222,"Bars and rods of stainless steel nesoi; angles, shapes and sections of stainless"
7223,Wire of stainless steel
7224,"Alloy steel (other than stainless) in ingots, other primary forms and semifinished products"
7225,"Flat-rolled alloy steel (other than stainless) products, width of 600 mm (23.6 in.) or more"
7226,"Flat-rolled alloy steel (other than stainless) products, less than 600 mm (23.6 in.) wide"
7227,"Bars and rods of alloy steel (other than stainless), hot-rolled, in irregularly wound coils"
7228,"Bars and rods nesoi, angles, shapes and sections of alloy steel (other than stainless); hollow drill bars and rods, of alloy or nonalloy steel"
7229,Wire of alloy steel (other than stainless)
73011000,"Iron or steel sheet piling, whether or not drilled, punched or made from assembled elements"
730210,Railway or tramway rails of iron or steel
73024000,"Iron or steel, fish plates and sole plates for jointing or fixing rails"
730290,"Railway or tramway track construction material of iron or steel, nesoi"
7304,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast) or steel"
7305,"Tubes and pipes nesoi (welded, riveted or similarly closed, etc.), having internal and external cross sections with an external diameter of over 406.4 mm (16 in.), of iron or steel"
7306,"Tubes, pipes and hollow profiles nesoi (open-seamed or welded, riveted or similarly closed), of iron or steel"
7216910010,"Iron or nonalloy steel, angle, shapes and sections nesoi, cold-formed or cold-finished from flat-rolled products, further worked than cold- formed or cold-finished"
73012010,"Iron or nonalloy steel, angles, shapes and sections, welded"
73012050,"Alloy steel, angles, shapes and sections of alloy steel, welded"
73023000,"Iron or steel, switch blades, crossing frogs, point rods and other crossing pieces, for jointing or fixing rails"
73071930,"Cast ductile iron or steel, fittings for tubes or pipes"
73071990,"Cast iron or steel, fittings for tubes or pipes, nesoi"
73072110,"Stainless steel, flanges for tubes or pipes, forged, not machined, not tooled and not otherwise processed after forging"
73072150,"Stainless steel, not cast, flanges for tubes or pipes, not forged or forged and machined, tooled and otherwise processed after forging 3"
73072210,"Stainless steel, not cast, threaded sleeves (couplings) for tubes or pipes"
73072250,"Stainless steel, not cast, threaded elbow and bends for tubes or pipes"
73072300,"Stainless steel, not cast, butt welding fittings for tubes or pipes"
73072900,"Stainless steel, not cast, fittings for tubes or pipes, nesoi"
73079110,"Iron or nonalloy steel, flanges for tubes or pipes, forged, not machined, not tooled and not otherwise processed after forging"
73079130,"Alloy steel (other than stainless), not cast, flanges for tubes or pipes, forged, not machined or tooled and not otherwise processed after forging"
73079150,"Iron or steel (other than stainless), not cast, flanges for tubes or pipes, not forged or forged and machined, tooled and processed after forging"
73079230,"Iron or steel (other than stainless), not cast, threaded sleeves (couplings) for tubes or pipes"
73079290,"Iron or steel (other than stainless), not cast, threaded elbow and bends for tubes or pipes"
73079330,"Iron or nonalloy steel, not cast, butt welding fittings for tubes or pipes, with an inside diameter of less than 360 mm"
73079360,"Alloy steel (other than stainless), not cast, butt welding fittings for tubes or pipes, with an inside diameter of less than 360 mm"
73079390,"Iron or alloy steel (other than stainless), not cast, butt welding fittings for tubes or pipes, with an inside diameter of 360 mm or more"
73079910,"Iron or nonalloy steel, fittings for tubes or pipes, nesoi, forged, not machined, not tooled and not otherwise processed after forging"
