hts,desc
73211110,"Iron or steel, portable non-electric domestic cooking appliances and plate warmers, for gas fuel or for both gas and other fuels"
73211130,"Iron or steel, nonportable non-electric domestic stoves or ranges, for gas fuel or for both gas and other fuels"
73211160,"Iron or steel, nonportable non-electric domestic cooking appliances (other than stoves or ranges) and plate warmers, for gas fuel or both gas and other fuels"
73211200,"Iron or steel, non-electric domestic cooking appliances and plate warmers, for liquid fuels"
73211900,"Iron or steel, non-electric domestic cooking appliances and plate warmers, other than for gas or liquid fuels"
73218110,"Iron or steel, portable non-electric domestic grates and warming appliances (other than cooking or plate warmers), for gas fuel or both gas and other fuels"
73218150,"Iron or steel, nonportable non-electric domestic grates and warming appliances (other than cooking or plate warmers), for gas fuel or both gas and other fuels"
73218210,"Iron or steel, portable non-electric domestic grates and warming appliances (other than cooking or plate warmers), for liquid fuels"
73218250,"Iron or steel, nonportable non-electric domestic grates and warming appliances (other than cooking or plate warmers), for liquid fuels"
73218900,"Iron or steel, non-electric domestic grates and warming appliances (other than cooking or plate warmers), other than for gas or liquid fuels"
73219010,"Iron or steel, cooking chambers for nonportable non-electric domestic stoves or ranges, for gas or for both gas and other fuels"
73219020,"Iron or steel, top surface panels with or without burners or controls for nonportable non-electric domestic stoves or ranges, for gas or for both gas and other fuels"
73219040,"Iron or steel, door assembly with more than one inner panel, outer panel, window or insulation, for non-electric stoves or ranges, for gas or for both gas and other fuels"
73219050,"Iron or steel, parts of nonportable non-electric domestic stoves or ranges, nesoi, for gas fuel or for both gas and other fuels"
73219060,"Iron or steel, parts, of nonelectric domestic cooking and warming appliances, nesoi"
73221900,"Iron (other than cast) or steel, non-electrically heated radiators and parts thereof, for central heating"
73229000,"Iron or steel, non-electrically heated air heaters and hot air distributors with motor-driven fan or blower and parts thereof 14"
73231000,"Iron or steel wool; iron or steel pot scourers and scouring or polishing pads, gloves and the like"
73239300,"Stainless steel, table, kitchen or other household articles and parts thereof"
73239400,"Iron (other than cast) or steel (other than stainless), table, kitchen or other household articles and parts thereof, enameled"
73239910,"Iron (other than cast) or steel (other than stainless), table, kitchen or other household articles and parts thereof, not enameled but plated or coated with silver"
73239930,"Iron (other than cast) or steel (other than stainless), table, kitchen or other household articles and parts thereof, not enameled but plated or coated with precious metal other than silver"
73239950,"Tinplate, table, kitchen or other household articles and parts thereof, not coated or plated with precious metal"
73239970,"Iron (other than cast) or steel (other than tinplate or stainless), cookingware, not coated or plated with precious metal"
73239990,"Iron (other than cast) or steel (other than tinplate or stainless), table, kitchen (other than cookingware) or other household articles and parts thereof, not coated or plated with precious metal"
73241000,"Stainless steel, sinks and wash basins"
73242900,"Iron (other than cast) or steel, baths (whether or not enameled)"
73249000,"Iron or steel, sanitary ware (other than baths or stainless steel sinks and wash basins) and parts thereof"
7325100035,Meter boxes of nonmalleable cast iron
7326200010,Belts and belting of iron or steel wire
7326200020,Garment wire hangers of iron or steel
7326200030,"Sod staples, U staples, irrigation staples, ground staples and ground pins, articles of iron or steel wire (not household articles)"
7326200040,"Double loop bar ties and double loop wire ties, articles of iron or steel wire (not household articles)"
7326200055,Paint roller frames of iron or steel wire
73269035,"Containers of a kind normally carried on the person, in the pocket or in the handbag, of iron or steel"
73269045,Horse and mule shoes of iron or steel
7326908660,Ladders of iron or steel
7326908675,"Paint roller frames of iron or steel, other than wire"
7326908676,"Metal handles for brooms, mops, paint applicators and similar products"
7326908677,Burial caskets of iron or steel
8202390040,"Diamond sawblade cores, of base metal, and parts thereof"
82034060,"Pipe cutters, bolt cutters, perforating punches and similar tools, nesoi, and base metal parts thereof"
82055955,"Iron or steel handtools (other than household, other than caulking guns) nesoi, and base metal parts thereof"
82057000,"Vises, clamps and the like, and base metal parts thereof"
82111000,"Sets of assorted knives with cutting blades, serrated or not (including pruning knives) 15"
82119110,Table knives with fixed blades and silver-plated handles
82119120,"Table knives with fixed blades, with stainless steel handles with nickel or containing over 10% by weight of manganese, with an overall length of 25.9 cm or less and valued at less than 25 cents each"
82119125,"Table knives with fixed blades, with stainless steel handles containing nickel or over 10% by weight of manganese, nesoi"
82119130,"Table knives with fixed blades, with stainless steel handles, nesoi, not over 25.9 cm in overall length and valued at less than 25 cents each"
82119140,"Table knives with fixed blades, with stainless steel handles, nesoi"
82119150,"Table knives with fixed blades, with rubber or plastic handles"
82119180,"Table knives with fixed blades, with handles other than of silver-plate, stainless steel, rubber or plastics"
82119220,"Kitchen and butcher knives with fixed blades, with rubber or plastic handles"
82119240,"Knives with fixed blades (other than table or kitchen and butcher knives), with rubber or plastic handles"
82119260,"Hunting knives with fixed blades, with wood handles"
82119290,"Knives with fixed blades (other than table knives, other knives with rubber or plastic handles, or hunting knives with wood handles)"
82119300,Knives having other than fixed blades
82119410,Base metal blades for knives having fixed blades
82119450,Base metal blades for knives having other than fixed blades
82119510,Base metal handles for table knives with fixed blades
82119550,Base metal handles for knives (other than table knives) with fixed blades
82119590,Base metal handles for knives having other than fixed blades
82151000,"Sets of assorted base metal spoons, forks, ladles, etc. and similar kitchen or tableware, with at least one article plated with precious metal"
82152000,"Sets of assorted base metal spoons, forks, ladles, etc. and similar kitchen or tableware, with no articles plated with precious metal"
82159130,Base metal forks plated with precious metal
82159160,Base metal spoons and ladles plated with precious metal
82159190,"Base metal skimmers, cake-servers, fish-knives, etc. and similar kitchen or tableware and parts, plated with precious metal"
82159901,"Base metal forks, with stainless steel handles containing nickel or over 10% by weight of manganese, with an overall length not over 25.9 cm, valued at under 25 cents each"
82159905,"Base metal forks, with stainless steel handles containing nickel or over 10% by weight of manganese, nesoi"
82159910,"Base metal forks, with stainless steel handles, nesoi, valued at under 25 cents each"
82159915,"Base metal forks, with stainless steel handles, nesoi, valued at 25 cents each or more"
82159920,"Base metal forks, with rubber or plastic handles"
82159922,"Base metal forks, without their handles"
82159924,"Base metal table forks and barbecue forks, with wood handles 16"
82159926,"Base metal forks (other than plated with precious metal or with handles of stainless steel, wood, rubber or plastics), nesoi"
82159930,"Base metal spoons, with stainless steel handles and valued at under 25 cents each"
82159935,"Base metal spoons, with stainless steel handles and valued at 25 cents and over, and base metal ladles with stainless steel handles"
82159940,Base metal spoons and ladles with handles of base metal (other than stainless steel) or with nonmetal handles
82159945,"Base metal spoons and ladles, nesoi"
82159950,"Base metal skimmers, cake-servers, butter-knives, sugar tongs and similar kitchen or tableware, and base metal parts thereof (including parts of forks or spoons)"
83021060,"Hinges, of base metal, other"
83024130,"Base metal door closers (except automatic door closers) suitable for buildings, and base metal parts thereof"
83024160,"Iron or steel, aluminum or zinc mountings, fittings and similar articles, nesoi, suitable for buildings, and base metal pts thereof"
83024230,"Other mountings, fittings and similar articles, suitable for furniture, of"
83024960,"Other mountings, fittings and similar articles, of base metal, other"
