hts,desc
2027,"If a product is identified on both lists in this Annex, it will only be subject to a Section 232 tariff once, rather than a combined rate."
8207200070,Parts of dies for drawing or extruding metal
8207306062,"Metal-forming dies, including thread-rolling dies"
8207306095,"Parts of tools for pressing, stamping or punching, not suitable for cutting metal"
84014000,Parts of nuclear reactors
84179000,"Parts of industrial or laboratory furnaces and ovens, including incinerators, nonelectric"
84212900,"Filtering or purifying machinery and apparatus for liquids, nesoi"
84248990,"Other mechanical appliances for projecting, dispersing or spraying liquids or powders, nesoi"
84283200,"Bucket-type continuous-action elevators and conveyors, for goods or materials"
84283300,"Belt-type continuous-action elevators and conveyors, for goods or materials"
84283900,"Continuous-action elevators and conveyors, for goods or materials, nesoi"
84286000,"Teleferics, chair lifts, ski draglines; traction mechanisms for funiculars"
84287000,Industrial robots
84289003,"Machinery for lifting, handling, loading or unloading, nesoi"
84313900,"Parts suitable for use solely or principally with the machinery of heading 8428, nesoi"
84314100,"Buckets, shovels, grabs and grips suitable for use solely or principally with the machinery of headings 8426, 8429 or 8430"
8454200010,Ingot molds for steel ingots
8454200060,Ingot molds except for steel ingots
84553000,Rolls for metal-rolling mills
84559040,"Castings or weldments, individually weighing less than 90 tons, for the machines of heading 8455"
84559080,"Parts for metal-rolling mills and rolls therefor, nesoi"
84571000,Machining centers for working metal
84749000,Parts for the machinery of heading 8474
84771030,Injection-molding machines for manufacturing shoes of rubber or plastics
84771040,Injection-molding machines for use in the manufacture of video laser discs
84771090,"Injection-molding machines of a type used for working or manufacturing products from rubber or plastics, nesoi"
84779025,"Base, bed, platen and specified parts of machinery for working rubber or plastics or for the manufacture of products from these materials, nesoi"
8477908601,Parts of injection-molding machines
84799095,"Parts of machines and mechanical appliances having individual functions, nesoi in chapter 84 of the HTSUS"
8480490010,Molds for centrifugal casting of ductile iron pipe
8480718045,"Injection-type molds for rubber or plastics, nesoi"
8480718060,"Compression-type molds for rubber or plastics, nesoi 41"
8480799010,Blow molds for rubber or plastics
84836080,Shaft couplings (other than universal joints)
84839020,"Parts of flange, take-up, cartridge and hanger units"
85042300,"Liquid dielectric transformers having a power-handling capacity exceeding 10,000 kVa 42"
84248990,"Other mechanical appliances for projecting, dispersing or spraying liquids or powders, nesoi"
8479899599,"Other machines and mechanical appliances having individual functions, nesoi in chapter 84 of the HTSUS; parts thereof"
8479909596,"Other parts of machines and mechanical appliances having individual functions, nesoi in chapter 84 of the HTSUS; nesoi"
85043400,"Electrical transformers other than liquid dielectric, having a power-handling capacity exceeding 500 kVa"
85049020,Printed circuit assemblies of power supplies for automatic data processing machines or units thereof of heading 8471
85049065,Printed circuit assemblies of the goods of subheadings 8504.40 or 8504.50 for telecommunication apparatus
85049075,"Printed circuit assemblies of electrical transformers, static converters and inductors, nesoi"
8504909610,Ferrites for electrical transformers
8504909630,Ferrites for static converters and inductors
8504909646,"Parts for electrical transformers, nesoi (excluding laminations and cores)"
8504909650,"Parts for static converters, nesoi"
8504909690,"Parts for inductors, nesoi"
90139080,"Parts and accessories for liquid crystal devices, nesoi 43"
