HTSUS,Rate
8511.30.0040,25.0
8708.10.60,25.0
8537.10,25.0
8413.30.10,25.0
8708.40.75,25.0
8501.51,25.0
8512.20.40,25.0
8425.49.00,25.0
4012.20.60,25.0
8519.81.20,25.0
8482.20.0061,25.0
8708.99.68,25.0
8706.00.25,25.0
8507.90.80,25.0
4009.42.0020,25.0
8483.10.1030,25.0
8512.90.70,25.0
8512.90.60,25.0
9903.94.06,25.0
8536.41.0005,25.0
8708.95,25.0
8414.30.8030,25.0
8707,25.0
8482.10.5044,25.0
8407.32,25.0
8707.90.5020,25.0
9029.10,25.0
8482.10.10,25.0
8501.52,25.0
8708.94,25.0
8708.99.55,25.0
8482.20.0040,25.0
8544.30.00,25.0
8501.33,25.0
4009.22.0020,25.0
8482.20.0081,25.0
8708.21.00,25.0
9903.94.05,25.0
8539.10.0050,25.0
8482.10.5048,25.0
8482.20.0020,25.0
8408.20.20,25.0
8421.23.00,25.0
8707.10.0040,25.0
8708.29,25.0
4012.19.80,25.0
8512.20.20,25.0
8413.30.90,25.0
8471,25.0
7320.10,25.0
4013.10.0020,25.0
8706.00.15,25.0
8507.60,25.0
8527.21,25.0
8708.40.11,25.0
8708.22,25.0
8708.99.53,25.0
8414.59.6540,25.0
4009.12.0020,25.0
8512.40.20,25.0
8708.10.30,25.0
8716.90.50,25.0
8302.30,25.0
9029.20.4080,25.0
8413.91.10,25.0
8511.50.00,25.0
8426.91.00,25.0
9401.20.00,25.0
4011.10.50,25.0
8302.10.30,25.0
8706.00.05,25.0
8431.10.0090,25.0
8482.20.0070,25.0
8482.50.00,25.0
8482.40.00,25.0
8707.90.5080,25.0
9802.00.60,25.0
8301.20.00,25.0
8511.10.0000,25.0
4011.20.10,25.0
8525.60.1010,25.0
8413.91.9010,25.0
8407.31.00,25.0
8507.10,25.0
8708.40.70,25.0
8407.34,25.0
8507.90.40,25.0
8407.33,25.0
4009.32.0020,25.0
8415.20.00,25.0
4016.99.6010,25.0
8537.20,25.0
8511.90.6020,25.0
8512.90.20,25.0
8707.10.0020,25.0
8511.90.6040,25.0
8706.00.03,25.0
8708.93.75,25.0
8708.80,25.0
8409.99.1040,25.0
8511.30.0080,25.0
8512.30.00,25.0
8527.29,25.0
7320.20.10,25.0
8708.99.58,25.0
8501.34,25.0
8512.40.40,25.0
7009.10.00,25.0
8414.80.05,25.0
8707.90.5040,25.0
9015.10,25.0
8511.40.00,25.0
4012.19.40,25.0
8708.93.60,25.0
8421.32.00,25.0
1201,25.0
8707.90.5060,25.0
8414.59.30,25.0
8708.30,25.0
8501.40,25.0
8501.32,25.0
8482.20.0030,25.0
4013.10.0010,25.0
1862,25.0
8708.91,25.0
7007.21.51,25.0
8409.91.1040,25.0
8708.50,25.0
8483.10.30,25.0
8511.80.20,25.0
8511.80.60,25.0
8708.70,25.0
4011.10.10,25.0
8539.10.0010,25.0
8511.20.00,25.0
