HTSUS,Rate
7408.29.10,50.0
7409.21.00,50.0
7409.29.00,50.0
7413.00.10,50.0
9903.78.01,50.0
7409.19.10,50.0
7408.11.30,50.0
8544.42.10,50.0
7409.39.50,50.0
7407.21.90,50.0
7415.33.10,50.0
7419.80.30,50.0
9903.01.33,50.0
7411.29.50,50.0
7407.29.50,50.0
7415.39.00,50.0
7411.10.10,50.0
7419.80.16,50.0
7411.21.10,50.0
7412.10.00,50.0
7407.21.50,50.0
7410.12.00,50.0
7408.19.00,50.0
7409.39.90,50.0
7418.20.50,50.0
7419.80.03,50.0
7419.80.17,50.0
7406.20.00,50.0
7409.39.10,50.0
7415.21.00,50.0
7418.20.10,50.0
7410.11.00,50.0
7413.00.50,50.0
7409.90.90,50.0
7408.11.60,50.0
7407.21.30,50.0
7419.20.00,50.0
7408.22.50,50.0
7409.90.50,50.0
7418.10.00,50.0
7409.40.00,50.0
7419.80.09,50.0
7409.11.10,50.0
7408.29.50,50.0
7411.10.50,50.0
7407.10.50,50.0
8544.42.20,50.0
7409.31.10,50.0
7407.21.15,50.0
7408.21.00,50.0
7407.29.16,50.0
7415.33.05,50.0
7415.29.00,50.0
7409.19.50,50.0
8544.49.10,50.0
7410.21.30,50.0
7409.19.90,50.0
7419.80.15,50.0
7411.29.10,50.0
7406.10.00,50.0
7409.31.50,50.0
7411.21.50,50.0
7413.00.90,50.0
7409.11.50,50.0
7408.22.10,50.0
7407.10.15,50.0
7410.21.60,50.0
7415.10.00,50.0
7419.80.06,50.0
7415.33.80,50.0
1420,50.0
7409.31.90,50.0
7411.22.00,50.0
7407.10.30,50.0
8544.42.90,50.0
7412.20.00,50.0
9903.78.02,50.0
7407.21.70,50.0
7407.29.40,50.0
1201,50.0
7407.29.38,50.0
7410.22.00,50.0
7407.29.34,50.0
1862,50.0
7419.80.50,50.0
7409.90.10,50.0
