HTSUS,Rate
8708.10.60,25.0
8706.00.0575,25.0
8702.10.61,10.0
9903.94.01,25.0
9903.74.01,25.0
8413.30.10,25.0
9903.78.01,25.0
8708.50.91,25.0
8708.40.75,25.0
8501.32.61,25.0
9903.85.15,25.0
9903.81.89,25.0
8512.20.40,25.0
8708.95.15,25.0
8511.30.00,25.0
8407.34.25,25.0
8704.43.00,25.0
8425.49.00,25.0
4012.20.60,25.0
8527.29.80,25.0
9903.01.88,25.0
8519.81.20,25.0
8708.80.60,25.0
8482.20.0061,25.0
8708.99.68,25.0
8706.00.25,25.0
8708.30.50,25.0
8708.94.75,25.0
8407.34.55,25.0
7320.10.30,25.0
8708.91.50,25.0
8501.51.60,25.0
4009.42.0020,25.0
8708.22.00,25.0
8708.40.60,25.0
8702.10.31,10.0
9903.85.13,25.0
8302.30.60,25.0
8708.30.1010,25.0
8708.50.65,25.0
8708.94.70,25.0
8512.90.70,25.0
8708.70.05,25.0
8512.90.60,25.0
8708.70.35,25.0
4013.10.00,25.0
9903.01.35,25.0
9903.01.33,25.0
9903.94.54,25.0
8704.32.01,25.0
8536.41.0005,25.0
9903.94.06,25.0
8414.30.8030,25.0
8707.90.5020,25.0
8482.10.5044,25.0
8707.90.5090,25.0
8708.70.45,25.0
9903.94.53,25.0
8482.10.10,25.0
8702.40.31,10.0
9903.94.55,25.0
9903.94.07,25.0
9903.81.97,25.0
7320.10.60,25.0
9705,25.0
8708.40.65,25.0
8708.99.55,25.0
8709.11.00,25.0
8482.20.0040,25.0
8501.51.40,25.0
8544.30.00,25.0
9903.85.12,25.0
4009.22.0020,25.0
9903.74.11,25.0
8482.20.0081,25.0
4011.20.1025,25.0
4011.20.1015,25.0
8708.21.00,25.0
8501.33.61,25.0
8708.70.60,25.0
2483,25.0
9903.01.83,25.0
9903.81.87,25.0
8708.50.95,25.0
8407.34.44,25.0
8706.00.0520,25.0
8501.52.40,25.0
8539.10.0050,25.0
8708.95.05,25.0
8501.34.30,25.0
9903.94.05,25.0
8709.19.00,25.0
8708.99.41,25.0
9903.85.02,25.0
8482.10.5048,25.0
8701.22.00,25.0
9903.74.10,25.0
8482.20.0020,25.0
8408.20.20,25.0
