HTSUS,Rate
9903.94.01,25.0
9903.74.01,25.0
9903.78.01,25.0
9903.79.06,25.0
9903.85.15,25.0
9903.81.89,25.0
9903.01.88,25.0
9903.85.13,25.0
9903.02.86,25.0
9903.79.03,25.0
9903.01.35,25.0
9903.01.33,25.0
9903.02.71,25.0
9903.94.54,25.0
9903.02.77,25.0
9903.02.79,25.0
9903.94.53,25.0
9903.94.55,25.0
9903.94.07,25.0
9903.81.97,25.0
9903.79.05,25.0
9903.85.12,25.0
9903.01.83,25.0
9903.81.87,25.0
9903.02.81,25.0
9903.94.05,25.0
9903.02.88,25.0
9903.85.02,25.0
9903.79.07,25.0
9903.81.96,25.0
9903.79.04,25.0
9903.81.99,25.0
9903.94.33,25.0
9903.02.80,25.0
9903.94.52,25.0
9903.81.90,25.0
9903.01.77,25.0
9903.94.51,25.0
9903.02.89,25.0
9903.85.07,25.0
9903.94.41,25.0
9903.02.83,25.0
9903.85.14,25.0
9903.81.95,25.0
9903.01.24,25.0
9903.94.61,25.0
9903.79.02,25.0
9903.94.60,25.0
9903.79.09,25.0
9903.74.09,25.0
9903.01.01,25.0
9903.01.25,25.0
9903.81.91,25.0
9903.01.87,25.0
9903.02.91,25.0
9903.01.76,25.0
9903.94.63,25.0
9903.02.75,25.0
9903.01.10,25.0
9903.94.65,25.0
9903.01.84,25.0
9903.02.90,25.0
9903.94.42,25.0
9802.00.60,25.0
8471.80,25.0
9903.02.84,25.0
9903.74.03,25.0
9903.94.62,25.0
9903.94.44,25.0
9903.94.03,25.0
9903.85.04,25.0
9903.02.01,25.0
9903.02.76,25.0
9903.94.64,25.0
9903.81.93,25.0
9903.02.74,25.0
1012,25.0
9903.94.32,25.0
9903.01.63,25.0
9903.94.45,25.0
8471.50,25.0
9903.94.31,25.0
9903.81.94,25.0
9903.02.85,25.0
9903.79.08,25.0
9903.94.43,25.0
9903.85.08,25.0
9903.74.02,25.0
4800,25.0
9903.81.98,25.0
9903.02.73,25.0
9903.74.08,25.0
9903.94.40,25.0
9903.01.34,25.0
9903.94.50,25.0
8473.30,25.0
9903.01.39,25.0
9903.79.01,25.0
9903.81.88,25.0
