HTSUS,Rate
0402.99.68,25.0
0402.99.70,25.0
0402.99.90,25.0
1234,25.0
2106.90.99.98,25.0
2710.19.30.50,25.0
2711.12.00.20,25.0
2804.29.00.10,25.0
2804.40.00.00,25.0
2901.22.00.00,25.0
2903.42.10.00,25.0
2903.43.10,25.0
2903.44.10,25.0
2903.45.10,25.0
2903.49.00,25.0
2903.51.10,25.0
2903.59.90,25.0
2903.71.01.00,25.0
3004.90.92.51,25.0
3208.10.00,25.0
3208.20.00,25.0
3208.90.00,25.0
3209.10.00,25.0
3209.90.00,25.0
3213.90.00,25.0
3214.10.00,25.0
3303.00.10,25.0
3303.00.20,25.0
3303.00.30,25.0
3304.30.00,25.0
3304.99.50,25.0
3305.10.00,25.0
3305.30.00,25.0
3305.90.00,25.0
3306.90.00,25.0
3307.10.10,25.0
3307.10.20,25.0
3307.20.00,25.0
3307.49.00,25.0
3307.90.00,25.0
3401.30.10,25.0
3401.30.50,25.0
3402.31.90,25.0
3402.49.90,25.0
3402.50.11,25.0
3402.50.51,25.0
3402.90.10,25.0
3402.90.30,25.0
3402.90.50,25.0
3403.19.10,25.0
3403.19.50,25.0
3403.99.00,25.0
3405.10.00,25.0
3405.20.00,25.0
3405.40.00,25.0
3405.90.00,25.0
3506.10.50,25.0
3506.91.10,25.0
3506.91.50,25.0
3506.99.00,25.0
3808.59.10,25.0
3808.59.40,25.0
3808.61.10,25.0
3808.61.50,25.0
3808.62.10,25.0
3808.62.50,25.0
3808.69.10,25.0
3808.69.50,25.0
3808.91.15,25.0
3808.91.25,25.0
3808.91.30,25.0
3808.91.50,25.0
3808.94.10,25.0
3808.94.50,25.0
3809.91.00,25.0
3810.10.00,25.0
3811.19.00,25.0
3811.21.00,25.0
3814.00.10,25.0
3814.00.20,25.0
3814.00.50,25.0
3820.00.00,25.0
3824.99.93.97,25.0
3827.61.00.00,25.0
3827.62.00.00,25.0
3827.63.00.00,25.0
3827.64.00.00,25.0
3827.65.00.00,25.0
3925.20.00,25.0
3926.90.10,25.0
7206,50.0
7207,50.0
7208,50.0
7209,50.0
7210,50.0
7211,50.0
7212,50.0
7213,50.0
7214,50.0
7215,50.0
7216.10.00,50.0
7216.21.00,50.0
7216.22.00,50.0
7216.31.00,50.0
7216.32.00,50.0
7216.33.00,50.0
7216.40.00,50.0
7216.50.00,50.0
7216.91.00.10,50.0
7216.99.00,50.0
7217,50.0
7218,50.0
7219,50.0
7220,50.0
7221,50.0
7222,50.0
7223,50.0
7224,50.0
7225,50.0
7226,50.0
7227,50.0
7228,50.0
7229,50.0
7301.10.00,50.0
7301.20.10,50.0
7301.20.50,50.0
7302.10,50.0
7302.30.00,50.0
7302.40.00,50.0
7302.90,50.0
7304,50.0
7305,50.0
7306,50.0
7307.19.30,50.0
7307.19.90,50.0
7307.21.10,50.0
7307.21.50,50.0
7307.22.10,50.0
7307.22.50,50.0
7307.23.00,50.0
7307.29.00,50.0
7307.91.10,50.0
7307.91.30,50.0
7307.91.50,50.0
7307.92.30,50.0
7307.92.90,50.0
7307.93.30,50.0
7307.93.60,50.0
7307.93.90,50.0
7307.99.10,50.0
