HTSUS,Rate
4409.29.06,10.0
4411.14.90,10.0
4407.99.02,10.0
4412.91.31,10.0
4412.10.05,10.0
4412.39.50,10.0
4401.49.00,10.0
4407.11.00,10.0
4412.10.90,10.0
9903.01.14,10.0
4412.31.06,10.0
4403.21.01,10.0
4407.97.00,10.0
4408.10.01,10.0
4406.11.00,10.0
4412.31.48,10.0
9903.01.88,10.0
9903.76.21,10.0
9403.91.0080,25.0
4403.22.01,10.0
4412.52.41,10.0
4411.12.20,10.0
4407.91.00,10.0
4401.39.42,10.0
4412.34.32,10.0
4411.12.60,10.0
9903.76.04,10.0
9903.01.35,10.0
9903.01.33,10.0
4412.51.41,10.0
4403.99.01,10.0
4409.10.05,10.0
9903.76.22,10.0
4411.14.60,10.0
4409.29.41,10.0
9903.81.97,10.0
9903.01.05,10.0
4409.22.05,10.0
4408.90.01,10.0
4411.14.30,10.0
4412.31.26,10.0
4412.92.42,10.0
4411.93.10,10.0
4407.95.00,10.0
4409.22.90,10.0
4412.49.00,10.0
2483,10.0
9903.01.83,10.0
4409.10.20,10.0
4401.12.00,10.0
4402.90.01,10.0
4412.59.90,10.0
4412.51.10,10.0
4403.97.00,10.0
9903.81.96,10.0
4411.13.10,10.0
4412.51.31,10.0
9903.81.99,10.0
4412.33.32,10.0
4401.32.00,10.0
4411.93.90,10.0
4412.39.30,10.0
9401.61.6011,25.0
4402.10.00,10.0
4409.10.40,10.0
4412.99.71,10.0
9903.01.77,10.0
4409.22.25,10.0
4412.31.45,10.0
4412.52.31,10.0
4411.92.20,10.0
4412.31.92,10.0
1600,10.0
4412.92.11,10.0
4409.10.90,10.0
4409.29.26,10.0
4411.92.40,10.0
4403.24.01,10.0
4401.11.00,10.0
4411.14.20,10.0
4412.59.80,10.0
4411.14.10,10.0
4412.33.06,10.0
4407.19.00,10.0
9903.76.02,10.0
4412.33.26,10.0
9903.01.01,10.0
4409.22.65,10.0
4406.12.00,10.0
4411.94.00,10.0
4411.13.30,10.0
4412.91.51,10.0
9903.01.16,10.0
4412.99.58,10.0
9903.01.25,10.0
4412.91.10,10.0
9903.01.87,10.0
4409.22.10,10.0
4401.31.00,10.0
4412.92.31,10.0
4407.93.00,10.0
1701,10.0
4409.29.61,10.0
4412.31.61,10.0
4409.22.50,10.0
4412.92.07,10.0
4411.92.30,10.0
4401.22.00,10.0
9903.01.84,10.0
4401.21.00,10.0
4409.10.65,10.0
9802.00.60,10.0
4403.23.01,10.0
9403.40.9060,25.0
4411.13.60,10.0
4407.13.00,10.0
9903.76.20,10.0
4409.29.51,10.0
9903.76.01,10.0
4403.95.01,10.0
4401.41.00,10.0
4412.39.40,10.0
4403.93.01,10.0
4406.92.00,10.0
4412.34.57,10.0
9903.02.01,10.0
4412.91.06,10.0
4409.10.50,10.0
4407.12.00,10.0
4403.12.00,10.0
9401.61.4031,25.0
4412.34.26,10.0
9903.76.03,10.0
4412.99.97,10.0
4413.00.00,10.0
4412.51.51,10.0
4409.29.66,10.0
4409.29.91,10.0
4411.92.10,10.0
4412.33.57,10.0
4407.96.00,10.0
9401.61.6031,25.0
4409.22.60,10.0
4412.91.41,10.0
4410.90.00,10.0
9903.01.63,10.0
4407.92.00,10.0
4412.39.10,10.0
4411.93.60,10.0
4411.13.20,10.0
4409.10.10,10.0
4409.10.60,10.0
4409.21.05,10.0
4412.31.42,10.0
4412.99.91,10.0
4411.13.90,10.0
4403.26.01,10.0
4410.12.00,10.0
4410.19.00,10.0
4405.00.00,10.0
4412.52.10,10.0
4410.11.00,10.0
4411.12.90,10.0
9401.61.4011,25.0
4411.12.30,10.0
4403.91.00,10.0
4412.31.52,10.0
4409.10.45,10.0
4407.94.00,10.0
4403.11.00,10.0
4412.52.51,10.0
4404.20.00,10.0
4407.14.00,10.0
4403.94.01,10.0
4412.92.52,10.0
4402.20.00,10.0
9903.81.98,10.0
4409.21.90,10.0
9903.02.73,10.0
4412.59.95,10.0
4411.12.10,10.0
9403.60.8093,25.0
4403.96.01,10.0
4411.93.20,10.0
4406.91.00,10.0
4409.29.11,10.0
4412.41.00,10.0
1862,10.0
4411.93.30,10.0
9903.01.34,10.0
4412.99.81,10.0
4404.10.00,10.0
4409.22.40,10.0
4412.42.00,10.0
9903.01.39,10.0
4412.99.61,10.0
4403.25.01,10.0
4403.98.00,10.0
