hts8,s232_rate,category
76101000,50.0,Aluminum-Derivative
76109000,50.0,Aluminum-Derivative
76129010,50.0,Aluminum-Derivative
7615102015,50.0,Aluminum-Derivative
7615102025,50.0,Aluminum-Derivative
7615103015,50.0,Aluminum-Derivative
7615103025,50.0,Aluminum-Derivative
7615105020,50.0,Aluminum-Derivative
7615105040,50.0,Aluminum-Derivative
7615107125,50.0,Aluminum-Derivative
7615107130,50.0,Aluminum-Derivative
7615107155,50.0,Aluminum-Derivative
7615107180,50.0,Aluminum-Derivative
7615109100,50.0,Aluminum-Derivative
7615200000,50.0,Aluminum-Derivative
7616109090,50.0,Aluminum-Derivative
7616991000,50.0,Aluminum-Derivative
7616995130,50.0,Aluminum-Derivative
7616995140,50.0,Aluminum-Derivative
7616995190,50.0,Aluminum-Derivative
7612100000,50.0,Aluminum-Derivative
7612905000,50.0,Aluminum-Derivative
7613000000,50.0,Aluminum-Derivative
76141010,50.0,Aluminum-Derivative
6603908100,50.0,Aluminum-Derivative
8302103000,50.0,Aluminum-Derivative
8302106030,50.0,Aluminum-Derivative
8302106060,50.0,Aluminum-Derivative
8302106090,50.0,Aluminum-Derivative
8302200000,50.0,Aluminum-Derivative
8302303010,50.0,Aluminum-Derivative
8302303060,50.0,Aluminum-Derivative
8302413000,50.0,Aluminum-Derivative
8302416015,50.0,Aluminum-Derivative
8302416045,50.0,Aluminum-Derivative
8302416050,50.0,Aluminum-Derivative
8302416080,50.0,Aluminum-Derivative
8302423010,50.0,Aluminum-Derivative
8302423015,50.0,Aluminum-Derivative
8302423065,50.0,Aluminum-Derivative
8302496035,50.0,Aluminum-Derivative
8302496045,50.0,Aluminum-Derivative
8302496055,50.0,Aluminum-Derivative
8302496085,50.0,Aluminum-Derivative
8302500000,50.0,Aluminum-Derivative
8302603000,50.0,Aluminum-Derivative
8302609000,50.0,Aluminum-Derivative
8305100050,50.0,Aluminum-Derivative
8306300000,50.0,Aluminum-Derivative
8414596590,50.0,Aluminum-Derivative
8415908025,50.0,Aluminum-Derivative
8415908045,50.0,Aluminum-Derivative
8415908085,50.0,Aluminum-Derivative
8418998005,50.0,Aluminum-Derivative
8418998050,50.0,Aluminum-Derivative
8418998060,50.0,Aluminum-Derivative
8419505000,50.0,Aluminum-Derivative
8419901000,50.0,Aluminum-Derivative
8422900640,50.0,Aluminum-Derivative
8424909080,50.0,Aluminum-Derivative
8473302000,50.0,Aluminum-Derivative
8473305100,50.0,Aluminum-Derivative
8479899599,50.0,Aluminum-Derivative
8479908500,50.0,Aluminum-Derivative
8479909596,50.0,Aluminum-Derivative
8481909060,50.0,Aluminum-Derivative
8481909085,50.0,Aluminum-Derivative
8486900000,50.0,Aluminum-Derivative
8487900080,50.0,Aluminum-Derivative
8503009520,50.0,Aluminum-Derivative
8508700000,50.0,Aluminum-Derivative
8513902000,50.0,Aluminum-Derivative
8515902000,50.0,Aluminum-Derivative
8516905000,50.0,Aluminum-Derivative
8516908050,50.0,Aluminum-Derivative
8517710000,50.0,Aluminum-Derivative
8517790000,50.0,Aluminum-Derivative
8529907300,50.0,Aluminum-Derivative
8529909760,50.0,Aluminum-Derivative
