HTS,clean_hts,Heading,s301_rate
0101.21.00,01012100,9903.88.15,7.5
0101.29.00,01012900,9903.88.15,7.5
0101.30.00,01013000,9903.88.15,7.5
0101.90.30,01019030,9903.88.15,7.5
0101.90.40,01019040,9903.88.15,7.5
0102.21.00,01022100,9903.88.15,7.5
0102.29.20,01022920,9903.88.15,7.5
0102.29.40,01022940,9903.88.15,7.5
0102.31.00,01023100,9903.88.15,7.5
0102.39.00,01023900,9903.88.15,7.5
0102.90.00,01029000,9903.88.15,7.5
0103.10.00,01031000,9903.88.15,7.5
0103.91.00,01039100,9903.88.15,7.5
0103.92.00,01039200,9903.88.15,7.5
0104.10.00,01041000,9903.88.15,7.5
0104.20.00,01042000,9903.88.15,7.5
0105.11.00,01051100,9903.88.15,7.5
0105.12.00,01051200,9903.88.15,7.5
0105.13.00,01051300,9903.88.15,7.5
0105.14.00,01051400,9903.88.15,7.5
0105.15.00,01051500,9903.88.15,7.5
0105.94.00,01059400,9903.88.15,7.5
0105.99.00,01059900,9903.88.15,7.5
0106.11.00,01061100,9903.88.15,7.5
0106.12.01,01061201,9903.88.15,7.5
0106.13.00,01061300,9903.88.15,7.5
0106.14.00,01061400,9903.88.15,7.5
0106.19.30,01061930,9903.88.15,7.5
0106.19.91,01061991,9903.88.15,7.5
0106.20.00,01062000,9903.88.15,7.5
0106.31.00,01063100,9903.88.15,7.5
0106.32.00,01063200,9903.88.15,7.5
0106.33.00,01063300,9903.88.15,7.5
0106.39.01,01063901,9903.88.15,7.5
0106.41.00,01064100,9903.88.15,7.5
0106.49.00,01064900,9903.88.15,7.5
0106.90.01,01069001,9903.88.15,7.5
0201.10.05,02011005,9903.88.15,7.5
0201.10.10,02011010,9903.88.15,7.5
0201.10.50,02011050,9903.88.15,7.5
0201.20.02,02012002,9903.88.15,7.5
0201.20.04,02012004,9903.88.15,7.5
0201.20.06,02012006,9903.88.15,7.5
0201.20.10,02012010,9903.88.15,7.5
0201.20.30,02012030,9903.88.15,7.5
0201.20.50,02012050,9903.88.15,7.5
0201.20.80,02012080,9903.88.15,7.5
0201.30.02,02013002,9903.88.15,7.5
0201.30.04,02013004,9903.88.15,7.5
0201.30.06,02013006,9903.88.15,7.5
0201.30.10,02013010,9903.88.15,7.5
0201.30.30,02013030,9903.88.15,7.5
0201.30.50,02013050,9903.88.15,7.5
0201.30.80,02013080,9903.88.15,7.5
0202.10.05,02021005,9903.88.15,7.5
0202.10.10,02021010,9903.88.15,7.5
0202.10.50,02021050,9903.88.15,7.5
0202.20.02,02022002,9903.88.15,7.5
0202.20.04,02022004,9903.88.15,7.5
0202.20.06,02022006,9903.88.15,7.5
0202.20.10,02022010,9903.88.15,7.5
0202.20.30,02022030,9903.88.15,7.5
0202.20.50,02022050,9903.88.15,7.5
0202.20.80,02022080,9903.88.15,7.5
0202.30.02,02023002,9903.88.15,7.5
0202.30.04,02023004,9903.88.15,7.5
0202.30.06,02023006,9903.88.15,7.5
0202.30.10,02023010,9903.88.15,7.5
0202.30.30,02023030,9903.88.15,7.5
0202.30.50,02023050,9903.88.15,7.5
0202.30.80,02023080,9903.88.15,7.5
0203.11.00,02031100,9903.88.15,7.5
0203.12.10,02031210,9903.88.15,7.5
0203.12.90,02031290,9903.88.15,7.5
0203.19.20,02031920,9903.88.15,7.5
0203.19.40,02031940,9903.88.15,7.5
0203.21.00,02032100,9903.88.15,7.5
0203.22.10,02032210,9903.88.15,7.5
0203.22.90,02032290,9903.88.15,7.5
0203.29.20,02032920,9903.88.03,25.0
0203.29.40,02032940,9903.88.03,25.0
0204.10.00,02041000,9903.88.15,7.5
